customer_id,first_name,last_name,phone,email,street,city,state,zip_code,full_name
1,debra,burks,unknown,debra.burks@yahoo.com,9273_thorne_ave,orchard_park,ny,14127,debra_burks
2,kasha,todd,unknown,kasha.todd@yahoo.com,910_vine_street,campbell,ca,95008,kasha_todd
3,tameka,fisher,unknown,tameka.fisher@aol.com,769c_honey_creek_st,redondo_beach,ca,90278,tameka_fisher
4,daryl,spence,unknown,daryl.spence@aol.com,988_pearl_lane,uniondale,ny,11553,daryl_spence
5,charolette,rice,9163816003,charolette.rice@msn.com,107_river_dr,sacramento,ca,95820,charolette_rice
6,lyndsey,bean,unknown,lyndsey.bean@hotmail.com,769_west_road,fairport,ny,14450,lyndsey_bean
7,latasha,hays,7169863359,latasha.hays@hotmail.com,7014_manor_station_rd,buffalo,ny,14215,latasha_hays
8,jacquline,duncan,unknown,jacquline.duncan@yahoo.com,15_brown_st,jackson_heights,ny,11372,jacquline_duncan
9,genoveva,baldwin,unknown,genoveva.baldwin@msn.com,8550_spruce_drive,port_washington,ny,11050,genoveva_baldwin
10,pamelia,newman,unknown,pamelia.newman@gmail.com,476_chestnut_ave,monroe,ny,10950,pamelia_newman
11,deshawn,mendoza,unknown,deshawn.mendoza@yahoo.com,8790_cobblestone_street,monsey,ny,10952,deshawn_mendoza
12,robby,sykes,5165837761,robby.sykes@hotmail.com,486_rock_maple_street,hempstead,ny,11550,robby_sykes
13,lashawn,ortiz,unknown,lashawn.ortiz@msn.com,27_washington_rd,longview,tx,75604,lashawn_ortiz
14,garry,espinoza,unknown,garry.espinoza@hotmail.com,7858_rockaway_court,forney,tx,75126,garry_espinoza
15,linnie,branch,unknown,linnie.branch@gmail.com,314_south_columbia_ave,plattsburgh,ny,12901,linnie_branch
16,emmitt,sanchez,2129458823,emmitt.sanchez@hotmail.com,461_squaw_creek_road,new_york,ny,10002,emmitt_sanchez
17,caren,stephens,unknown,caren.stephens@msn.com,914_brook_st,scarsdale,ny,10583,caren_stephens
18,georgetta,hardin,unknown,georgetta.hardin@aol.com,474_chapel_dr,canandaigua,ny,14424,georgetta_hardin
19,lizzette,stein,unknown,lizzette.stein@yahoo.com,19_green_hill_lane,orchard_park,ny,14127,lizzette_stein
20,aleta,shepard,unknown,aleta.shepard@aol.com,684_howard_st,sugar_land,tx,77478,aleta_shepard
21,tobie,little,unknown,tobie.little@gmail.com,10_silver_spear_dr,victoria,tx,77904,tobie_little
22,adelle,larsen,unknown,adelle.larsen@gmail.com,683_west_kirkland_dr,east_northport,ny,11731,adelle_larsen
23,kaylee,english,unknown,kaylee.english@msn.com,8786_fulton_rd,hollis,ny,11423,kaylee_english
24,corene,wall,unknown,corene.wall@msn.com,9601_ocean_rd,atwater,ca,95301,corene_wall
25,regenia,vaughan,unknown,regenia.vaughan@gmail.com,44_stonybrook_street,mahopac,ny,10541,regenia_vaughan
26,theo,reese,5622152907,theo.reese@gmail.com,8755_w_wild_horse_st,long_beach,ny,11561,theo_reese
27,santos,valencia,unknown,santos.valencia@yahoo.com,7479_carpenter_street,sunnyside,ny,11104,santos_valencia
28,jeanice,frost,unknown,jeanice.frost@hotmail.com,76_devon_lane,ossining,ny,10562,jeanice_frost
29,syreeta,hendricks,unknown,syreeta.hendricks@msn.com,193_spruce_road,mahopac,ny,10541,syreeta_hendricks
30,jamaal,albert,unknown,jamaal.albert@gmail.com,853_stonybrook_street,torrance,ca,90505,jamaal_albert
31,williemae,holloway,5102468375,williemae.holloway@msn.com,69_cypress_st,oakland,ca,94603,williemae_holloway
32,araceli,golden,unknown,araceli.golden@msn.com,12_ridgeview_ave,fullerton,ca,92831,araceli_golden
33,deloris,burke,unknown,deloris.burke@hotmail.com,895_edgemont_drive,palos_verdes_peninsula,ca,90274,deloris_burke
34,brittney,woodward,unknown,brittney.woodward@aol.com,960_river_st,east_northport,ny,11731,brittney_woodward
35,guillermina,noble,unknown,guillermina.noble@msn.com,6_del_monte_lane,baldwinsville,ny,13027,guillermina_noble
36,bernita,mcdaniel,unknown,bernita.mcdaniel@hotmail.com,2_peg_shop_ave,liverpool,ny,13090,bernita_mcdaniel
37,melia,brady,unknown,melia.brady@gmail.com,907_shirley_rd,maspeth,ny,11378,melia_brady
38,zelma,browning,unknown,zelma.browning@aol.com,296_second_street,astoria,ny,11102,zelma_browning
39,janetta,aguirre,7176702634,janetta.aguirre@aol.com,214_second_court,lancaster,ny,14086,janetta_aguirre
40,ronna,butler,unknown,ronna.butler@gmail.com,9438_plymouth_court,encino,ca,91316,ronna_butler
41,kathie,freeman,unknown,kathie.freeman@msn.com,667_temple_dr,queensbury,ny,12804,kathie_freeman
42,tangela,quinn,unknown,tangela.quinn@aol.com,4_s_purple_finch_road,richmond_hill,ny,11418,tangela_quinn
43,mozelle,carter,2814899656,mozelle.carter@aol.com,895_chestnut_ave,houston,tx,77016,mozelle_carter
44,onita,johns,unknown,onita.johns@msn.com,32_glen_creek_lane,elmont,ny,11003,onita_johns
45,bennett,armstrong,unknown,bennett.armstrong@aol.com,688_walnut_street,bethpage,ny,11714,bennett_armstrong
46,monika,berg,unknown,monika.berg@gmail.com,369_vernon_dr,encino,ca,91316,monika_berg
47,bridgette,guerra,unknown,bridgette.guerra@hotmail.com,9982_manor_drive,san_lorenzo,ca,94580,bridgette_guerra
48,cesar,jackson,unknown,cesar.jackson@gmail.com,8068_n_griffin_ave,liverpool,ny,13090,cesar_jackson
49,caroll,hays,unknown,caroll.hays@yahoo.com,9381_wrangler_st,fairport,ny,14450,caroll_hays
50,cleotilde,booth,unknown,cleotilde.booth@gmail.com,17_corona_st,sugar_land,tx,77478,cleotilde_booth
51,gertrud,rhodes,unknown,gertrud.rhodes@aol.com,9961_meadowbrook_street,merrick,ny,11566,gertrud_rhodes
52,tu,ramirez,unknown,tu.ramirez@hotmail.com,24_w_courtland_street,east_elmhurst,ny,11369,tu_ramirez
53,saturnina,garner,unknown,saturnina.garner@gmail.com,8538_fairground_st,glendora,ca,91740,saturnina_garner
54,fran,yang,unknown,fran.yang@hotmail.com,440_pearl_st,utica,ny,13501,fran_yang
55,diana,guerra,unknown,diana.guerra@hotmail.com,45_chapel_ave,merrick,ny,11566,diana_guerra
56,lolita,mosley,2813633309,lolita.mosley@hotmail.com,376_s_high_ridge_st,houston,tx,77016,lolita_mosley
57,pamala,henry,unknown,pamala.henry@aol.com,197_bridgeton_ave,bronx,ny,10451,pamala_henry
58,damien,dorsey,unknown,damien.dorsey@yahoo.com,161_old_york_street,central_islip,ny,11722,damien_dorsey
59,latasha,stanley,unknown,latasha.stanley@gmail.com,8068_fordham_drive,rockville_centre,ny,11570,latasha_stanley
60,neil,mccall,unknown,neil.mccall@gmail.com,7476_oakland_dr,san_carlos,ca,94070,neil_mccall
61,elinore,aguilar,unknown,elinore.aguilar@msn.com,9766_rockcrest_ave,san_angelo,tx,76901,elinore_aguilar
62,alica,hunter,unknown,alica.hunter@hotmail.com,8_san_juan_drive,east_elmhurst,ny,11369,alica_hunter
63,tenisha,lyons,unknown,tenisha.lyons@aol.com,78_e_rock_creek_street,amityville,ny,11701,tenisha_lyons
64,bobbie,foster,unknown,bobbie.foster@yahoo.com,988_pineknoll_ave,desoto,tx,75115,bobbie_foster
65,kanesha,vega,unknown,kanesha.vega@gmail.com,771_e_oxford_drive,rome,ny,13440,kanesha_vega
66,lorrie,becker,unknown,lorrie.becker@yahoo.com,19_north_court,garland,tx,75043,lorrie_becker
67,tommie,melton,9168022952,tommie.melton@gmail.com,8_west_old_york_st,sacramento,ca,95820,tommie_melton
68,jayne,kirkland,unknown,jayne.kirkland@hotmail.com,7800_second_lane,rowlett,tx,75088,jayne_kirkland
69,katelin,kennedy,unknown,katelin.kennedy@gmail.com,286_myrtle_lane,rocklin,ca,95677,katelin_kennedy
70,tomasa,carson,unknown,tomasa.carson@aol.com,10_clark_avenue,east_elmhurst,ny,11369,tomasa_carson
71,takako,casey,unknown,takako.casey@aol.com,7548_court_lane,bronx,ny,10451,takako_casey
72,petronila,norris,unknown,petronila.norris@aol.com,72_south_marshall_lane,south_el_monte,ca,91733,petronila_norris
73,melanie,hayes,unknown,melanie.hayes@msn.com,5_n_hall_dr,liverpool,ny,13090,melanie_hayes
74,georgeann,waller,unknown,georgeann.waller@yahoo.com,9797_bald_hill_ave,north_tonawanda,ny,14120,georgeann_waller
75,abby,gamble,unknown,abby.gamble@aol.com,60_myers_dr,amityville,ny,11701,abby_gamble
76,parker,prince,unknown,parker.prince@hotmail.com,21_sulphur_springs_drive,port_jefferson_station,ny,11776,parker_prince
77,keri,bridges,unknown,keri.bridges@gmail.com,8504_brickell_ave,richardson,tx,75080,keri_bridges
78,chi,goff,unknown,chi.goff@aol.com,3_w_glen_ridge_avenue,palos_verdes_peninsula,ca,90274,chi_goff
79,ashanti,parks,unknown,ashanti.parks@hotmail.com,846_n_helen_st,baldwin,ny,11510,ashanti_parks
80,sarai,mckee,7169128110,sarai.mckee@msn.com,641_glenwood_avenue,buffalo,ny,14215,sarai_mckee
81,zina,bonner,unknown,zina.bonner@hotmail.com,9312_8th_street,san_lorenzo,ca,94580,zina_bonner
82,lizzie,joyner,unknown,lizzie.joyner@msn.com,8541_roberts_st,coachella,ca,92236,lizzie_joyner
83,tiesha,daniel,unknown,tiesha.daniel@yahoo.com,6_west_bohemia_lane,scarsdale,ny,10583,tiesha_daniel
84,armand,whitehead,unknown,armand.whitehead@hotmail.com,639_harvey_st,lindenhurst,ny,11757,armand_whitehead
85,teofila,fischer,unknown,teofila.fischer@aol.com,1_west_brickyard_st,huntington_station,ny,11746,teofila_fischer
86,lissa,vargas,unknown,lissa.vargas@yahoo.com,517_victoria_ave,oswego,ny,13126,lissa_vargas
87,yan,mcgowan,unknown,yan.mcgowan@msn.com,8960_newport_ave,duarte,ca,91010,yan_mcgowan
88,titus,bullock,unknown,titus.bullock@gmail.com,29_oxford_avenue,hollis,ny,11423,titus_bullock
89,arvilla,osborn,unknown,arvilla.osborn@gmail.com,60_acacia_lane,upland,ca,91784,arvilla_osborn
90,marjorie,logan,unknown,marjorie.logan@msn.com,95_grandrose_st,franklin_square,ny,11010,marjorie_logan
91,marvin,mullins,6196352027,marvin.mullins@aol.com,7489_redwood_drive,san_diego,ca,92111,marvin_mullins
92,tena,cruz,unknown,tena.cruz@yahoo.com,1_south_st,farmingdale,ny,11735,tena_cruz
93,corrina,sawyer,2483701364,corrina.sawyer@yahoo.com,95_briarwood_lane,troy,ny,12180,corrina_sawyer
94,sharyn,hopkins,unknown,sharyn.hopkins@hotmail.com,4_south_temple_ave,baldwinsville,ny,13027,sharyn_hopkins
95,letitia,franco,unknown,letitia.franco@aol.com,607_lakeview_drive,saratoga_springs,ny,12866,letitia_franco
96,floretta,higgins,unknown,floretta.higgins@hotmail.com,870_lilac_dr,bayside,ny,11361,floretta_higgins
97,louanne,martin,unknown,louanne.martin@hotmail.com,1_campfire_ave,yuba_city,ca,95993,louanne_martin
98,violet,valenzuela,unknown,violet.valenzuela@msn.com,8668_piper_street,plattsburgh,ny,12901,violet_valenzuela
99,carie,kidd,unknown,carie.kidd@yahoo.com,6_east_clinton_street,monroe,ny,10950,carie_kidd
