customer_id,full_name,count_order,avg_spending
730,andria_rivers,1,432702.54
1226,qiana_jackson,1,198805.01
19,lizzette_stein,3,150613.07
1002,cami_williamson,1,123367.22
222,anya_contreras,1,80696.69
1342,lekisha_pope,1,52778.12
122,shena_carter,1,24890.62
1224,abram_copeland,1,24607.02
1214,brigid_sharp,1,20648.95
425,augustina_joyner,1,20509.42
238,cindi_larson,1,20177.74
1023,adena_blake,1,19329.94
464,bess_mcbride,1,18853.35
1100,penny_acevedo,1,18670.92
227,danielle_bond,1,18553.72
108,shae_hickman,1,18281.47
1007,jimmy_russell,1,18278.94
525,andreas_mayer,1,18114.92
289,charmain_webster,1,17834.96
1037,ashanti_hammond,1,17758.34
182,jenniffer_bullock,1,17746.59
1005,ruthanne_franco,1,17611.95
607,paul_lester,1,17580.71
1421,edris_barrett,1,17494.93
339,tamela_harrell,1,17479.95
94,sharyn_hopkins,2,17403.97
383,ashlee_pena,1,17305.93
1391,sheryl_chase,1,17086.93
976,ayanna_cherry,1,16950.07
651,laure_pena,1,16890.14
534,alejandro_haney,1,16846.95
1382,wynona_douglas,1,16491.51
184,klara_stanley,1,16436.06
75,abby_gamble,2,16401.5
73,melanie_hayes,2,15956.84
971,samual_warner,1,15876.42
1199,consuela_collier,1,15455.62
908,delmar_wise,1,15439.94
809,elnora_simpson,1,15416.15
1132,parthenia_holman,1,15205.92
840,gilbert_calhoun,1,15097.9
531,kimberely_bowen,1,15087.26
195,addie_hahn,1,14935.02
374,candelaria_coffey,1,14735.41
663,alissa_hood,1,14567.15
1131,desmond_rose,1,14566.43
263,dortha_jarvis,1,14405.04
904,jana_thomas,1,14397.13
1171,earlean_pena,1,14249.64
167,loreta_johnston,1,14172.21
1020,lorraine_marks,1,14141.33
292,monty_frost,1,13947.54
692,dorothea_chang,1,13821.53
296,sophia_mcmillan,1,13773.62
1063,tammy_austin,1,13765.54
734,alina_mcleod,1,13287.52
503,marlo_jefferson,1,13242.96
595,frederica_rojas,1,13191.93
681,reatha_perez,1,13130.82
883,gilberte_duke,1,13107.43
226,kiana_rivera,1,13033.59
1438,lee_dunn,1,12980.93
441,dorthea_walker,1,12965.74
310,gilberto_parsons,1,12935.94
140,cleopatra_tate,1,12909.91
803,bernardina_cooper,1,12867.95
93,corrina_sawyer,2,12806.35
1070,olimpia_mays,1,12774.24
334,somer_jordan,1,12663.95
1403,mila_moody,1,12595.07
700,collene_knox,1,12541.76
105,marget_hodge,1,12461.54
95,letitia_franco,1,12433.45
1237,luke_kramer,1,12420.7
1086,cori_schwartz,1,12400.84
1090,ira_erickson,1,12392.95
1258,todd_waters,1,12381.82
203,minerva_decker,1,12369.62
1103,ardelia_cooley,1,12334.95
1332,novella_ross,1,12307.96
690,yevette_elliott,1,12104.78
905,hae_ramirez,1,12089.98
1195,chantell_bridges,1,11993.97
330,sheba_knapp,1,11972.92
1019,janie_herrera,1,11950.47
322,merideth_preston,1,11832.45
747,margret_barnett,1,11831.33
509,terra_pickett,1,11787.55
85,teofila_fischer,2,11597.53
473,lashawna_richardson,1,11596.42
871,erlinda_humphrey,1,11588.64
583,lashandra_turner,1,11578.65
627,deloris_larson,1,11479.53
275,pinkie_kirkland,1,11476.53
462,efren_oliver,1,11463.95
350,christoper_mccall,1,11462.59
1136,kallie_best,1,11428.65
541,lanita_burton,1,11406.42
375,yan_trevino,1,11391.42
415,gwendolyn_miller,1,11349.95
780,ouida_gregory,1,11314.07
1284,shanice_spears,1,11299.97
1423,dollie_cervantes,1,11238.65
10,pamelia_newman,3,11211.41
547,tena_huber,1,11183.04
1348,yvone_guerrero,1,11183.03
880,phebe_turner,1,11120.32
798,alyse_jacobson,1,11062.41
295,danny_kim,1,11055.93
609,eliana_reese,1,11035.84
35,guillermina_noble,2,11030.53
159,regina_burns,1,11013.93
783,celestine_kent,1,10998.02
997,trinidad_mcclain,1,10986.9
810,ivelisse_nixon,1,10951.55
196,edythe_valencia,1,10949.94
136,sarita_parks,2,10915.48
6,lyndsey_bean,3,10891.69
245,delila_hamilton,1,10869.96
403,elouise_fry,1,10866.96
550,felicidad_golden,1,10794.35
1018,carita_salinas,1,10792.24
38,zelma_browning,2,10767.83
58,damien_dorsey,2,10757.22
888,coleen_navarro,1,10728.43
16,emmitt_sanchez,3,10641.96
815,leanna_manning,1,10620.04
1312,tereasa_bird,1,10617.97
576,shirely_stanley,1,10574.96
247,muriel_juarez,1,10570.47
1205,emmaline_huber,1,10563.64
1138,hubert_stone,1,10541.96
867,rosalva_hamilton,1,10529.96
1443,lezlie_lamb,1,10372.09
1440,ernest_rollins,1,10360.25
543,jasmin_young,1,10336.96
147,bernetta_marquez,1,10322.97
126,lavina_dejesus,1,10314.92
255,flossie_holder,1,10269.85
463,jerlene_rios,1,10266.95
259,johnathan_velazquez,1,10231.04
1368,veronique_fulton,1,10216.23
715,larae_carney,1,10187.94
844,felica_munoz,1,10186.62
824,veronika_rollins,1,10132.36
1225,mellisa_griffin,1,10050.62
320,aron_wiggins,1,10047.42
63,tenisha_lyons,2,10043.18
28,jeanice_frost,2,9996.43
594,deanne_parsons,1,9942.13
492,justa_thompson,1,9927.55
886,letisha_may,1,9927.2
1439,florrie_little,1,9919.91
544,catarina_mendez,1,9908.46
1034,rico_salas,1,9874.65
356,vashti_rosario,1,9865.47
838,erna_sloan,1,9849.07
421,iola_rasmussen,1,9838.44
186,ken_charles,1,9833.65
345,mi_gray,1,9728.98
1415,harold_o'connor,1,9725.83
983,marguerite_berger,1,9712.94
499,lidia_ashley,1,9704.94
411,octavia_case,1,9673.84
598,benito_hendrix,1,9645.38
738,fannie_jenkins,1,9532.35
329,marilyn_frank,1,9499.98
82,lizzie_joyner,2,9497.5
1261,adelaida_hancock,1,9497.17
1010,katia_henry,1,9479.95
298,jennie_middleton,1,9474.93
91,marvin_mullins,2,9428.44
559,basilia_thornton,1,9408.78
1051,tonisha_fowler,1,9399.96
802,barrett_sanders,1,9385.1
1201,nita_guy,1,9372.36
1436,macie_ayers,1,9334.5
279,justina_long,1,9327.73
920,james_robles,1,9314.83
1165,rikki_morrow,1,9301.92
1,debra_burks,3,9296.06
661,trena_hudson,1,9287.94
1349,kami_rios,1,9278.65
794,donette_mccarthy,1,9274.96
230,chelsey_hardin,1,9211.52
755,tomika_wilder,1,9210.71
1441,jamaal_morrison,1,9173.38
282,randolph_chase,1,9163.42
836,corinna_adams,1,9161.94
340,yanira_bradshaw,1,9157.75
3,tameka_fisher,3,9067.55
517,buford_gilbert,1,9044.92
